City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
314,Saldanha,ZA,-33.01,17.94,59.0,82,0,3.36,clear sky
315,Fontem,CM,5.47,9.88,68.47,94,100,0.54,light rain
316,Aviles,ES,43.55,-5.92,60.01,71,40,14.99,scattered clouds
317,Varkaus,FI,62.32,27.87,53.01,87,75,8.05,broken clouds
318,Chapais,CA,49.78,-74.85,42.8,48,90,9.17,overcast clouds
319,Charters Towers,AU,-20.1,146.27,65.77,79,1,14.38,clear sky
320,Ancud,CL,-41.87,-73.82,57.2,33,0,6.93,clear sky
321,Bowen,AU,-20.02,148.23,69.8,73,90,11.41,overcast clouds
322,Port Elizabeth,ZA,-33.92,25.57,60.8,93,92,10.29,light rain
323,Prince Albert,CA,53.2,-105.77,51.8,62,75,9.17,broken clouds
324,Bjornevatn,NO,69.67,29.98,48.2,81,97,13.87,overcast clouds
325,Plouzane,FR,48.38,-4.62,51.8,87,75,16.11,broken clouds
326,Loviisa,FI,60.46,26.23,55.0,88,78,1.01,broken clouds
327,Mamu Kanjan,PK,30.83,72.8,76.98,19,0,2.66,clear sky
328,Marsh Harbour,BS,26.54,-77.06,83.55,75,93,14.61,overcast clouds
329,Husavik,IS,66.04,-17.34,35.6,93,90,3.36,moderate rain
330,Guiren,CN,33.67,118.19,59.92,68,100,6.13,light rain
331,Manzhouli,CN,49.6,117.43,38.05,90,97,16.28,light rain
332,Komsomolskiy,UZ,40.43,71.72,53.6,54,1,6.93,clear sky
333,Knysna,ZA,-34.04,23.05,55.4,100,68,6.93,broken clouds
334,Logan,US,41.74,-111.83,73.99,28,1,7.02,clear sky
335,Baykit,RU,61.67,96.37,39.49,89,100,5.39,light rain
336,Krasnoarmeysk,RU,51.02,45.7,55.0,73,100,1.01,overcast clouds
337,Aromashevo,RU,56.86,68.64,34.54,88,33,10.96,scattered clouds
338,Margate,GB,51.38,1.39,55.99,84,89,1.99,overcast clouds
339,Yanam,IN,16.73,82.22,77.56,92,91,6.11,overcast clouds
340,Naples,IT,40.83,14.25,71.6,83,40,8.05,scattered clouds
341,Abonnema,NG,4.71,6.79,76.95,90,99,5.59,overcast clouds
342,Hamilton,US,39.18,-84.53,64.99,39,75,4.43,broken clouds
343,Vila Do Maio,CV,15.13,-23.22,78.8,78,75,14.99,broken clouds
344,Ilhabela,BR,-23.78,-45.36,73.71,89,83,5.17,broken clouds
345,Anadyr,RU,64.75,177.48,32.0,85,40,8.95,light snow
346,Gavrilovka Vtoraya,RU,52.88,42.77,54.18,61,100,4.99,overcast clouds
347,Puerto Rondon,CO,6.28,-71.1,86.43,68,42,2.28,light rain
348,Hambantota,LK,6.12,81.12,77.0,100,40,8.05,scattered clouds
349,La Ronge,CA,55.1,-105.28,53.6,58,90,10.29,overcast clouds
350,Tavda,RU,58.04,65.27,32.45,92,0,7.43,clear sky
351,Namatanai,PG,-3.67,152.43,81.45,77,97,8.21,overcast clouds
352,Morant Bay,JM,17.88,-76.41,87.8,70,40,24.16,scattered clouds
353,Ouegoa,NC,-20.35,164.43,71.08,66,0,8.16,clear sky
354,Taoudenni,ML,22.68,-3.98,93.92,18,0,4.16,clear sky
355,Port Augusta,AU,-32.5,137.77,64.4,68,72,3.36,light rain
356,Tiznit,MA,29.58,-9.5,62.82,72,0,6.22,clear sky
357,San Luis,AR,-33.3,-66.34,59.56,37,100,5.19,overcast clouds
358,Vestmanna,FO,62.16,-7.17,48.2,100,100,8.05,light rain
359,Halifax,CA,44.65,-63.57,64.0,65,9,1.99,clear sky
360,Prince Rupert,CA,54.32,-130.32,53.6,100,90,2.24,light rain
